dt,angle,angle_dt,pwm,pos,pos_dt,source_file
0.051,2.8257,0.0035,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8259,-0.001,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8258,-0.0026,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,-0.0049,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.0006,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8256,-0.001,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,0.0022,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8259,-0.0003,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8259,-0.0013,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8258,-0.0009,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8257,-0.0006,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8259,0.0003,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8258,0.0014,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8258,0.0011,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8259,-0.0038,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8259,-0.0007,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.826,0.0026,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8261,0.0011,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.826,0.0003,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8262,0.0017,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8261,-0.0003,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8261,-0.0014,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8261,0.0011,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.826,0.0011,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.826,-0.0009,0.0,0.0019,0.0,ident_20250910_062016.csv
0.051,2.8259,0.0002,0.0,0.0019,0.0,ident_20250910_062016.csv
